Наименование;Остаток;КодТовара;Артикул;Производитель;Тип;Описание;Цена;ШтрихКод;Упаковка;СрокГодности;Марка;ТоварнаяКатегория;Товар;РейтингПродаж;Категория;ABV;IBU;Plato;СтильПива;UntappdRef;EBC;id_объекта
Duck Cider "Яблоко" (Cider) алк. 5,5% /ДАК САЙДЕР Яблоко, бут. 0,5л;12;00-00022324;ЯБЛОКО (бут. 0,5л);Сидродельня Леонида Леврана;Товар;;311;4603728537528;кор. 12х0,5л ст. бут.;720;Яблоко;Яблоко;Duck Cider "Яблоко" (Cider) алк. 5,5% /ДАК САЙДЕР Яблоко, бут. 0,5л;;Алкогольная продукция>Сидродельня Леонида Леврана>Duck Cider;5,50;;;Cider;6592166;;31bf081d-4f86-11f1-9bbe-000c296fac54
Меда Сибири "Dry Hibiscus Mead" (Mead) алк. 5% / Гибискус, пэт кег 20л;20;00-00022488;DRY HIBISCUS MEAD (пэт кег 20л);Меда Сибири;Товар;;383;4660387591681;пэт кег 20л;365;Dry Hibiscus Mead;Dry Hibiscus Mead;Меда Сибири "Dry Hibiscus Mead" (Mead) алк. 5% / Гибискус, пэт кег 20л;;Алкогольная продукция>Меда Сибири>Меда Сибири кег;5;;;Mead;6373501;;22a3298f-600a-11f1-9bbe-000c296fac54
Big Village "РАСПУТЬЕ" (Double New England IPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль 7, ж/б 0,45л;51;00-00022517;РАСПУТЬЕ (ж/б 0,45л);Big Village;Товар;;353;4620197365520;кор. 12х0,45л ж/б;240;РАСПУТЬЕ;РАСПУТЬЕ;Big Village "РАСПУТЬЕ" (Double New England IPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль 7, ж/б 0,45л;Новинка!;Алкогольная продукция>Big Village>Big Village ж>б;8,50;40;;Double New England IPA;6727211;;9c8fba7f-6311-11f1-9bbe-000c296fac54
Big Village "РАСПУТЬЕ" (Double New England IPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль 7, ж/б 0,45л;51;00-00022517;РАСПУТЬЕ (ж/б 0,45л);Big Village;Товар;;353;4620197365537;кор. 12х0,45л ж/б;240;РАСПУТЬЕ;РАСПУТЬЕ;Big Village "РАСПУТЬЕ" (Double New England IPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль 7, ж/б 0,45л;Новинка!;Алкогольная продукция>Big Village>Big Village ж>б;8,50;40;;Double New England IPA;6727211;;9c8fba7f-6311-11f1-9bbe-000c296fac54
Big Pot "Тает Первым V2" (Черника,ежевика,малина) (Smoothie) алк.7%/ Брюмен смузи 5, ж/б 0,45л;90;00-00022541;ТАЕТ ПЕРВЫМ V2 (ЧЕРНИКА,ЕЖЕВИКА,МАЛИНА)(ж/б 0,45л);Big Pot;Товар;Сливочный саур с миксом вкусов черники, ежевики и малины;338;4620402495752;кор. 12х0,45л ж/б;360;Тает Первым V2;Тает Первым V2;Big Pot "Тает Первым V2" (Черника,ежевика,малина) (Smoothie) алк.7%/ Брюмен смузи 5, ж/б 0,45л;Новинка!;Алкогольная продукция>Big Pot>Big Pot ж>б;7;;;Smoothie;6736957;;7fb8d387-6402-11f1-9bbe-000c296fac54
Лимонад Aloha Вишня Миндаль (Lemonade) / АЛОХА 2, бут. 0,33л;209;00-00020888;ЛИМОНАД ALOHA ВИШНЯ МИНДАЛЬ (бут. 0,33л);Aloha;Товар;;175;4670161154742;кор. 12х0,33л ст. бут.;365;Лимонад Вишня-Миндаль;Лимонад Aloha Вишня Миндаль;Лимонад Aloha Вишня Миндаль (Lemonade) / АЛОХА 2, бут. 0,33л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Aloha;;;;Lemonade;;;00fc9160-ae80-11f0-9bb1-000c296fac54
Лимонад Aloha Вишня Миндаль (Lemonade) / АЛОХА 2, бут. 0,33л;209;00-00020888;ЛИМОНАД ALOHA ВИШНЯ МИНДАЛЬ (бут. 0,33л);Aloha;Товар;;175;4670161159303;кор. 12х0,33л ст. бут.;365;Лимонад Вишня-Миндаль;Лимонад Aloha Вишня Миндаль;Лимонад Aloha Вишня Миндаль (Lemonade) / АЛОХА 2, бут. 0,33л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Aloha;;;;Lemonade;;;00fc9160-ae80-11f0-9bb1-000c296fac54
Red Button "Melchior" (Freeze-Distilled Beer), алк. 18%, / Мельхиор, ж/б 0,33л;25;00-00020928;MELCHIOR (ж/б 0,33л);Red Button;Товар;;469;4670190943331;кор. 20х0,33л ж/б;360;Melchior;Melchior;Red Button "Melchior" (Freeze-Distilled Beer), алк. 18%, / Мельхиор, ж/б 0,33л;;Алкогольная продукция>Red Button>Red Button ж>б > стекло;18;;;Freeze-Distilled Beer;6415924;;fa8130b2-b0bb-11f0-9bb1-000c296fac54
Plague Brew "Horseradish Forester" (Gose), алк. 5,2% / Форестер 10, ж/б 0,45л;35;00-00021047;HORSERADISH FORESTER (ж/б 0,45л);Plague Brew;Товар;;366;4660512527448;кор. 06х0,45л ж/б;730;Horseradish Forester;Horseradish Forester;Plague Brew "Horseradish Forester" (Gose), алк. 5,2% / Форестер 10, ж/б 0,45л;;Алкогольная продукция>Plague Brew>Plague Brew ж>б бут;5,20;7;;Gose;5558991;;b2966c26-bafd-11f0-9bb2-000c296fac54
Ортодокс & Rewort Brewery “Скиты” (Lager - American) алк. 4,5% /ЛАГЕР 12, ж/б 0,45л;576;00-00021106;СКИТЫ (ж/б 0,45л);ОРТОДОКС;Товар;;222;4670161154827;кор. 12х0,45л ж/б;365;Скиты;Скиты;Ортодокс & Rewort Brewery “Скиты” (Lager - American) алк. 4,5% /ЛАГЕР 12, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;4,50;;;Lager;6440575;;d14ab92f-c095-11f0-9bb2-000c296fac54
Ортодокс & Rewort Brewery “Скиты” (Lager - American) алк. 4,5% /ЛАГЕР 12, ж/б 0,45л;576;00-00021106;СКИТЫ (ж/б 0,45л);ОРТОДОКС;Товар;;222;4670161159648;кор. 12х0,45л ж/б;365;Скиты;Скиты;Ортодокс & Rewort Brewery “Скиты” (Lager - American) алк. 4,5% /ЛАГЕР 12, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;4,50;;;Lager;6440575;;d14ab92f-c095-11f0-9bb2-000c296fac54
Леонид Леврана "Старый Изборск" (Sweet Cider) алк. 5,5% / СТАРЫЙ ИЗБОРСК. ЛЕОНИД ЛЕВРАНА, бут. 0,33л;30;00-00021508;СТАРЫЙ ИЗБОРСК (бут. 0,33л);Сидродельня Леонида Леврана;Товар;;275;4603728537078;кор. 12х0,33л ст. бут.;720;Старый Изборск;Старый Изборск;Леонид Леврана "Старый Изборск" (Sweet Cider) алк. 5,5% / СТАРЫЙ ИЗБОРСК. ЛЕОНИД ЛЕВРАНА, бут. 0,33л;;Алкогольная продукция>Сидродельня Леонида Леврана>Леврана бут;5,50;;;Dry Apple Cider;5949954;;c16af586-e184-11f0-9bb5-000c296fac54
Big Pot "GRAPESHOT" (Smoothie) алк.6,5% / БИГПОТ СМУЗИ 42, ж/б 0,45л;84;00-00021525;GRAPESHOT (ж/б 0,45л);Big Pot;Товар;;353;4620402495455;кор. 12х0,45л ж/б;360;GRAPESHOT;GRAPESHOT;Big Pot "GRAPESHOT" (Smoothie) алк.6,5% / БИГПОТ СМУЗИ 42, ж/б 0,45л;;Алкогольная продукция>Big Pot>Big Pot ж>б;6,50;;;Smoothie;6548422;;1e44ab06-f058-11f0-9bb6-000c296fac54
Zagovor Brewery "Liquid Sapience" (Pilsner) алк 4.7% /Ликвид Сапиенс, ж/б 0,45л;59;00-00021606;LIQUID SAPIENCE (ж/б 0,45л);Zagovor Brewery;Товар;;280;4670223014175;кор. 20х0,45л ж/б;365;Liquid Sapience;Liquid Sapience;Zagovor Brewery "Liquid Sapience" (Pilsner) алк 4.7% /Ликвид Сапиенс, ж/б 0,45л;;Алкогольная продукция>Zagovor Brewery>Zagovor Brewery ж>б;4,70;45;;Pilsner;6570017;;7f5a371a-f696-11f0-9bb7-000c296fac54
Rewort Brewery “Bunol” (Non-Alco Tomato Gose) алк. 0,5% / АЛКОФРИ 1, ж/б 0,45л;465;00-00021662;BUNOL. (ж/б 0,45л);Rewort;Товар;;212;4670161157156;кор. 12х0,45л ж/б;365;Bunol;Bunol;Rewort Brewery “Bunol” (Non-Alco Tomato Gose) алк. 0,5% / АЛКОФРИ 1, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort б>а;0,50;10;8,50;Non-Alco Tomato Gose;5773210;50;2c46b16e-fc48-11f0-9bba-000c296fac54
Rewort Brewery “Bunol” (Non-Alco Tomato Gose) алк. 0,5% / АЛКОФРИ 1, ж/б 0,45л;465;00-00021662;BUNOL. (ж/б 0,45л);Rewort;Товар;;212;4670161159471;кор. 12х0,45л ж/б;365;Bunol;Bunol;Rewort Brewery “Bunol” (Non-Alco Tomato Gose) алк. 0,5% / АЛКОФРИ 1, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort б>а;0,50;10;8,50;Non-Alco Tomato Gose;5773210;50;2c46b16e-fc48-11f0-9bba-000c296fac54
Заповедник "АБАНАМАТ" (Dry Cider) алк. 5% / Абанамат, бут. 0,33л;57;00-00019488;АБАНАМАТ (бут. 0,33л);Заповедник;Товар;;269;4603759677750;кор. 20х0,33л ст. бут.;730;АБАНАМАТ;АБАНАМАТ;Заповедник "АБАНАМАТ" (Dry Cider) алк. 5% / Абанамат, бут. 0,33л;;Алкогольная продукция>Заповедник>Заповедник бут;5;;;Dry Cider;1963594;;7ba88ec0-45dc-11f0-9bac-000c296fac54
Заповедник "Umeboshi" (Dry Fruit Cider) алк. 6% / Умебощи, кег 30л;60;00-00019504;UMEBOSHI (кег 30л);Заповедник;Товар;;490;4603759677958;пэт кег 30л;730;Umeboshi;Umeboshi;Заповедник "Umeboshi" (Dry Fruit Cider) алк. 6% / Умебощи, кег 30л;;Алкогольная продукция>Заповедник>Заповедник кег;6;;;Dry Fruit Cider;4890861;;3f4dc4cc-45e2-11f0-9bac-000c296fac54
GANZA Brewery "TOMATO JOURNEY SMOKED" (Sour Gose) алк.6% / Ганза гозе 19, ж/б 0,45 л;55;00-00019571;TOMATO JOURNEY SMOKED (ж/б 0,45);GANZA Brewery;Товар;;304;4670163073737;кор. 12х0,45л ж/б;360;TOMATO JOURNEY SMOKED;TOMATO JOURNEY SMOKED;GANZA Brewery "TOMATO JOURNEY SMOKED" (Sour Gose) алк.6% / Ганза гозе 19, ж/б 0,45 л;;Алкогольная продукция>GANZA Brewery>GANZA Brewery ж>б;6;;;Sour Gose;5050081;;d5cbea49-4b5b-11f0-9bac-000c296fac54
Red Button "KUTS"  (Other Gose), алк.5% / Кутс, ж/б 0,45л;25;00-00019655;KUTS (жб 0,45л);Red Button;Товар;;322;4670190942136;кор. 20х0,45л ж/б;360;KUTS;KUTS;Red Button "KUTS"  (Other Gose), алк.5% / Кутс, ж/б 0,45л;;Алкогольная продукция>Red Button>Red Button ж>б > стекло;5;;;Gose;4725176;;117617fd-5009-11f0-9bac-000c296fac54
Salden's "Sour Ale Passion Fruit" (Sour Fruited) алк, 5% / Салденс Специальный Саур Эль, жб. 0,45л;15;00-00009596;SOUR ALE PASSION FRUIT (жб. 0,45л);Salden's;Товар;Sour - Fruited;285;4620085787052;кор. 20х0,45л ж/б;180;Sour Ale Passion Fruit;Sour Ale Passion Fruit;Salden's "Sour Ale Passion Fruit" (Sour Fruited) алк, 5% / Салденс Специальный Саур Эль, жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;5,50;;;Sour - Fruited;1663314;;4a698a73-0e83-11ed-80e6-000c29d24b62
Lapochka "Grapefruit + Lemon" (Lemonade) / Лапочка Грейпфрут Лимон, ж/б.0,33л;13;00-00003515;LAPOCHKA "GRAPEFRUIT + LEMON" (ж/б 0,33л);Lapochka;Товар;;196;4640205260050;кор. 20х0,33л ж/б;360;Lapochka "Grapefruit + Lemon";Lapochka "Grapefruit + Lemon";Lapochka "Grapefruit + Lemon" (Lemonade) / Лапочка Грейпфрут Лимон, ж/б.0,33л;;Алкогольная продукция>Ostrovica (Аша)>Lapochka;;;;Lemonade;;;2cfb00ec-c5d2-11ea-80ef-000c29e252b5
Lapochka "Grapefruit + Lemon" (Lemonade) / Лапочка Грейпфрут Лимон, ж/б.0,33л;13;00-00003515;LAPOCHKA "GRAPEFRUIT + LEMON" (ж/б 0,33л);Lapochka;Товар;;196;4640205260067;кор. 20х0,33л ж/б;360;Lapochka "Grapefruit + Lemon";Lapochka "Grapefruit + Lemon";Lapochka "Grapefruit + Lemon" (Lemonade) / Лапочка Грейпфрут Лимон, ж/б.0,33л;;Алкогольная продукция>Ostrovica (Аша)>Lapochka;;;;Lemonade;;;2cfb00ec-c5d2-11ea-80ef-000c29e252b5
WS Brew "Blanche" (Witbier Blanche) алк. 5% / ВС Бланш , пэт кег 20л;60;00-00010676;BLANCHE (пэт кег 20л);WS Brew;Товар;;306;4640229751220;пэт кег 20л;365;Blanche;Blanche;WS Brew "Blanche" (Witbier Blanche) алк. 5% / ВС Бланш , пэт кег 20л;;Алкогольная продукция>White Stonе>WS Brew кег;5;8;;Witbier Blanche;5060421;;cc552dee-6731-11ed-80f2-000c29d24b62
Selfmade "Fruitality" (Fruit Beer) алк. 6,6% / СБ Фруталити, ж/б 0,45л;12;00-00018521;FRUITALITY (ж/б 0,45л);Selfmade;Товар;Sour - Fruited;306;4640235994703;кор. 12х0,45л ж/б;363;Fruitality;Fruitality;Selfmade "Fruitality" (Fruit Beer) алк. 6,6% / СБ Фруталити, ж/б 0,45л;;Алкогольная продукция>Selfmade>Selfmade ж>б;6,80;38;;Fruit Beer;2688207;;c2b4e1c4-03fb-11f0-8227-000c29bc6f5e
Rewort Brewery "Turbulence" (DIPA) алк. 8.5% / ТУРБУЛЕНЦИЯ, ж/б 0,33л;635;00-00018578;TURBULENCE (ж/б 0,33л);Rewort;Товар;;248;4670161157231;кор. 12х0,33л ж/б;365;Turbulence;Turbulence;Rewort Brewery "Turbulence" (DIPA) алк. 8.5% / ТУРБУЛЕНЦИЯ, ж/б 0,33л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;8,50;80;19;DIPA;6165990;9;6933a70e-0578-11f0-8228-000c29bc6f5e
Rewort Brewery "Turbulence" (DIPA) алк. 8.5% / ТУРБУЛЕНЦИЯ, ж/б 0,33л;635;00-00018578;TURBULENCE (ж/б 0,33л);Rewort;Товар;;248;4670161157361;кор. 12х0,33л ж/б;365;Turbulence;Turbulence;Rewort Brewery "Turbulence" (DIPA) алк. 8.5% / ТУРБУЛЕНЦИЯ, ж/б 0,33л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;8,50;80;19;DIPA;6165990;9;6933a70e-0578-11f0-8228-000c29bc6f5e
Big Village "FOUR SEASONS" (Rice Lager) алк. 5% / Фо Сизонс, ж/б 0,45л;30;00-00018630;FOUR SEASONS (ж/б 0,45л);Big Village;Товар;;246;4609642279384;кор. 12х0,45л ж/б;240;FOUR SEASONS;FOUR SEASONS;Big Village "FOUR SEASONS" (Rice Lager) алк. 5% / Фо Сизонс, ж/б 0,45л;Новинка!;Алкогольная продукция>Big Village>Big Village ж>б;5;20;;Rice Lager;5961005;;05f3d17f-0986-11f0-822a-000c29bc6f5e
Big Village "FOUR SEASONS" (Rice Lager) алк. 5% / Фо Сизонс, ж/б 0,45л;30;00-00018630;FOUR SEASONS (ж/б 0,45л);Big Village;Товар;;246;4609642279391;кор. 12х0,45л ж/б;240;FOUR SEASONS;FOUR SEASONS;Big Village "FOUR SEASONS" (Rice Lager) алк. 5% / Фо Сизонс, ж/б 0,45л;Новинка!;Алкогольная продукция>Big Village>Big Village ж>б;5;20;;Rice Lager;5961005;;05f3d17f-0986-11f0-822a-000c29bc6f5e
GANZA Brewery "КУБАНСКИЙ ПИРОГ ЯБЛОКО-КОРИЦА"(Sour)алк.6%/Ганза Кубанский Пирог с Корицей,ж/б 0,45 л;15;00-00018713;КУБАНСКИЙ ПИРОГ ЯБЛОКО - КОРИЦА (ж/б 0,45);GANZA Brewery;Товар;;329;4670163073829;кор. 12х0,45л ж/б;360;КУБАНСКИЙ ПИРОГ ЯБЛОКО - КОРИЦА;КУБАНСКИЙ ПИРОГ ЯБЛОКО - КОРИЦА;GANZA Brewery "КУБАНСКИЙ ПИРОГ ЯБЛОКО-КОРИЦА"(Sour)алк.6%/Ганза Кубанский Пирог с Корицей,ж/б 0,45 л;;Алкогольная продукция>GANZA Brewery>GANZA Brewery ж>б;6;;;Smoothie Sour Ale;5789761;;7b2e8e23-1060-11f0-822d-000c29bc6f5e
Rewort Brewery “Миниатюра” (IPA - Session New England / Hazy) алк. 2.5% / ОХМЕЛЕННОЕ 5, ж/б 0,45л;829;00-00022165;МИНИАТЮРА (ж/б 0,45л);Rewort;Товар;;296;4630522441782;кор. 12х0,45л ж/б;365;Миниатюра;Миниатюра;Rewort Brewery “Миниатюра” (IPA - Session New England / Hazy) алк. 2.5% / ОХМЕЛЕННОЕ 5, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;2,50;8;15;Hazy IPA;6655660;8;636cb415-3cb9-11f1-9bbc-000c296fac54
Rewort Brewery “Миниатюра” (IPA - Session New England / Hazy) алк. 2.5% / ОХМЕЛЕННОЕ 5, ж/б 0,45л;829;00-00022165;МИНИАТЮРА (ж/б 0,45л);Rewort;Товар;;296;4670161159815;кор. 12х0,45л ж/б;365;Миниатюра;Миниатюра;Rewort Brewery “Миниатюра” (IPA - Session New England / Hazy) алк. 2.5% / ОХМЕЛЕННОЕ 5, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;2,50;8;15;Hazy IPA;6655660;8;636cb415-3cb9-11f1-9bbc-000c296fac54
HopHead "Шоколадный брауни с ежевикой и малиной" (Smoothie)алк 6% / Брауни ежевика малина, ж/б 0,45л;72;00-00022183;ШОКОЛАДНЫЙ БРАУНИ С ЕЖЕВИКОЙ И МАЛИНОЙ (ж/б 0,45л);HopHead;Товар;;350;4620402495554;кор. 20х0,45л ж/б;360;Шоколадный брауни с ежевикой и малиной;Шоколадный брауни с ежевикой и малиной;HopHead "Шоколадный брауни с ежевикой и малиной" (Smoothie)алк 6% / Брауни ежевика малина, ж/б 0,45л;;Алкогольная продукция>HopHead>HopHead ж>б;6;5;;Smoothie;5255455;;8535e6c5-3e4d-11f1-9bbc-000c296fac54
Stamm Brewing "Sheppard" (New Zealand Pilsner ) алк 5,5% / Хоппи лагер 1 / Hoppy Lager 1, ж/б 0,45л;53;00-00022219;SHEPPARD (ж/б 0,45л);Stamm Brewing;Товар;;269;4610297651029;кор. 12х0,45л ж/б;365;Sheppard;Sheppard;Stamm Brewing "Sheppard" (New Zealand Pilsner ) алк 5,5% / Хоппи лагер 1 / Hoppy Lager 1, ж/б 0,45л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;5,50;;;New Zealand Pilsner;6680801;;c4798886-439b-11f1-9bbc-000c296fac54
Stamm Brewing "Sheppard" (New Zealand Pilsner ) алк 5,5% / Хоппи лагер 1 / Hoppy Lager 1, ж/б 0,45л;53;00-00022219;SHEPPARD (ж/б 0,45л);Stamm Brewing;Товар;;269;4610297653276;кор. 12х0,45л ж/б;365;Sheppard;Sheppard;Stamm Brewing "Sheppard" (New Zealand Pilsner ) алк 5,5% / Хоппи лагер 1 / Hoppy Lager 1, ж/б 0,45л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;5,50;;;New Zealand Pilsner;6680801;;c4798886-439b-11f1-9bbc-000c296fac54
Rewort Brewery “Temptation's Wings” (Triple New England IPA) алк.9.5% / ТЕМПТЕЙШЕНС ВИНГЗ, ж/б 0,45л;887;00-00022336;TEMPTATION'S WINGS (ж/б 0,45л);Rewort;Товар;;338;4670161157132;кор. 12х0,45л ж/б;365;Temptation's Wings;Temptation's Wings;Rewort Brewery “Temptation's Wings” (Triple New England IPA) алк.9.5% / ТЕМПТЕЙШЕНС ВИНГЗ, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;9,50;45;21;Triple New England IPA;5789759;10;4d4c264d-52ba-11f1-9bbe-000c296fac54
Red Rocket "ACES" (Lager - IPL) алк. 4.5% / РЕД РОКЕТ ПРЕМИУМ ЛАГЕР, ж/б 0,45л;40;00-00022353;ACES (ж/б 0,45л);Red Rocket;Товар;;288;4640229932599;кор. 20х0,45л ж/б;360;ACES;ACES;Red Rocket "ACES" (Lager - IPL) алк. 4.5% / РЕД РОКЕТ ПРЕМИУМ ЛАГЕР, ж/б 0,45л;;Алкогольная продукция>Red Rocket Brewery>Red Rocket ж>б;4,50;30;;Lager;6673638;;5e1f80a9-5449-11f1-9bbe-000c296fac54
Selfmade "Spiral Code" (Pilsner) алк. 5,3% /СБ ИПА 8, пэт кег 20л/шт;2;00-00022373;SPIRAL CODE (пэт кег 20л/шт);Selfmade;Товар;;7740;4640235994291;пэт кег 20л/шт;240;Spiral Code;Spiral Code;Selfmade "Spiral Code" (Pilsner) алк. 5,3% /СБ ИПА 8, пэт кег 20л/шт;;Алкогольная продукция>Selfmade>Selfmade кег;5,30;35;;Pilsner;6646320;;c31ce25c-5509-11f1-9bbe-000c296fac54
White Stone "Интернеты" (New England Hazy IPA) алк. 6% / ВС НЕИПА 8, ж/б 0,45л;49;00-00022396;ИНТЕРНЕТЫ (ж/б 0,45л);White Stone;Товар;;348;4640229753033;кор. 12х0,45л ж/б;365;Интернеты;Интернеты;White Stone "Интернеты" (New England Hazy IPA) алк. 6% / ВС НЕИПА 8, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6;32;;New England Hazy IPA;6683143;;415b2793-583d-11f1-9bbe-000c296fac54
White Stone "Интернеты" (New England Hazy IPA) алк. 6% / ВС НЕИПА 8, ж/б 0,45л;49;00-00022396;ИНТЕРНЕТЫ (ж/б 0,45л);White Stone;Товар;;348;4640229753040;кор. 12х0,45л ж/б;365;Интернеты;Интернеты;White Stone "Интернеты" (New England Hazy IPA) алк. 6% / ВС НЕИПА 8, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6;32;;New England Hazy IPA;6683143;;415b2793-583d-11f1-9bbe-000c296fac54
HopHead "Пигус" (Gose) алк. 6% / Хопхэд гозе 23, ж/б 0,45л;67;00-00022409;ПИГУС (ж/б 0,45л);HopHead;Товар;;329;4620402496308;кор. 20х0,45л ж/б;360;Пигус;Пигус;HopHead "Пигус" (Gose) алк. 6% / Хопхэд гозе 23, ж/б 0,45л;;Алкогольная продукция>HopHead>HopHead ж>б;6;;;Gose;6690729;;b5379767-5900-11f1-9bbe-000c296fac54
Gravity Project "Бессердечная жучка" (Cider) алк. 4,5%/ Б. Хартлес, бут.0,45л;48;00-00022435;БЕССЕРДЕЧНАЯ ЖУЧКА (бут.0,45л);Gravity Project;Товар;;329;4603791714826;кор. 12х0,45л ст бут.;365;Бессердечная жучка;Бессердечная жучка;Gravity Project "Бессердечная жучка" (Cider) алк. 4,5%/ Б. Хартлес, бут.0,45л;;Алкогольная продукция>Gravity Project>Gravity Project стекло;4,50;;;Cider;3300416;;a3374bd1-5a83-11f1-9bbe-000c296fac54
B-SIDE “B-Side: Абрикос” (mead) 4,5% / Абрикос полусладкий, бут.0,45л;62;00-00022449;B-SIDE: АБРИКОС (бут. 0,45л);B-SIDE;Товар;Пивной напиток со вкусом ананаса полусладкий.;303;4603791714901;кор. 12х0,45л ст бут.;365;B-Side: Абрикос;B-Side: Абрикос;B-SIDE “B-Side: Абрикос” (mead) 4,5% / Абрикос полусладкий, бут.0,45л;;Алкогольная продукция>B-SIDE>B-SIDE жб бут;4,50;;;Mead;4062028;;d0e25f12-5d84-11f1-9bbe-000c296fac54
Selfmade "The Charmer" (Non-Alco Sour) алк. 0,5% / СБ Зеро 3, ж/б 0,45л;24;00-00022465;THE CHARMER (ж/б 0,45л);Selfmade;Товар;;243;4640235994598;кор. 12х0,45л ж/б;240;The Charmer;The Charmer;Selfmade "The Charmer" (Non-Alco Sour) алк. 0,5% / СБ Зеро 3, ж/б 0,45л;;Алкогольная продукция>Selfmade>Selfmade б>а;0,50;10;;Non-Alco Sour;6700935;;a1184402-5f14-11f1-9bbe-000c296fac54
Mister Bee "Pomegranate-Grape" (Mead) алк. 5% / Мистер БИ Гранат-виноград, бут 0,45л;155;00-00022614;MISTER BEE POMEGRANATE-GRAPE(ГРАНАТ-ВИН) (бут0,45);Cider House;Товар;;191;4680140431511;кор. 12х0,45л ст бут.;730;Mister Bee Pomegranate-Grape;Mister Bee Pomegranate-Grape;Mister Bee "Pomegranate-Grape" (Mead) алк. 5% / Мистер БИ Гранат-виноград, бут 0,45л;;Алкогольная продукция>Cider House>Mister Bee бут;5;;;Mead;6514304;;b88f98db-6a46-11f1-9bbe-000c296fac54
Mister Bee "Pomegranate-Grape" (Mead) алк. 5% / Мистер БИ Гранат-виноград, бут 0,45л;155;00-00022614;MISTER BEE POMEGRANATE-GRAPE(ГРАНАТ-ВИН) (бут0,45);Cider House;Товар;;191;4680140432167;кор. 12х0,45л ст бут.;730;Mister Bee Pomegranate-Grape;Mister Bee Pomegranate-Grape;Mister Bee "Pomegranate-Grape" (Mead) алк. 5% / Мистер БИ Гранат-виноград, бут 0,45л;;Алкогольная продукция>Cider House>Mister Bee бут;5;;;Mead;6514304;;b88f98db-6a46-11f1-9bbe-000c296fac54
GANZA Brewery "Мутные воды" (Triple New England IPA) алк. 9% / Ганза неипа 33, пэт кег 20л;20;00-00022627;МУТНЫЕ ВОДЫ (пэт кег 20л);GANZA Brewery;Товар;;559;4670163076134;пэт кег 20л;180;Мутные воды;Мутные воды;GANZA Brewery "Мутные воды" (Triple New England IPA) алк. 9% / Ганза неипа 33, пэт кег 20л;;Алкогольная продукция>GANZA Brewery>GANZA Brewery кег;9;30;;Triple New England IPA;6716847;;616471c3-6bad-11f1-9bbe-000c296fac54
Rewort Brewery "Passion Mood" (Sour Ale With Passion Fruit) алк. 5,0% / ПЭШН МУД, ж/б 0,45л;271;00-00022641;PASSION MOOD (ж/б 0,45л);Rewort;Товар;Кислый эль с маракуйей;269;4630522440112;кор. 12х0,45л ж/б;365;Passion Mood;Passion Mood;Rewort Brewery "Passion Mood" (Sour Ale With Passion Fruit) алк. 5,0% / ПЭШН МУД, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;5;10;14;Sour Ale With Passion Fruit;3414390;8;104ecc18-6bcc-11f1-9bbe-000c296fac54
Rewort Brewery "Passion Mood" (Sour Ale With Passion Fruit) алк. 5,0% / ПЭШН МУД, ж/б 0,45л;271;00-00022641;PASSION MOOD (ж/б 0,45л);Rewort;Товар;Кислый эль с маракуйей;269;4670161155336;кор. 12х0,45л ж/б;365;Passion Mood;Passion Mood;Rewort Brewery "Passion Mood" (Sour Ale With Passion Fruit) алк. 5,0% / ПЭШН МУД, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;5;10;14;Sour Ale With Passion Fruit;3414390;8;104ecc18-6bcc-11f1-9bbe-000c296fac54
