Наименование;Остаток;КодТовара;Артикул;Производитель;Тип;Описание;Цена;ШтрихКод;Упаковка;СрокГодности;Марка;ТоварнаяКатегория;Товар;РейтингПродаж;Категория;ABV;IBU;Plato;СтильПива;UntappdRef;EBC;id_объекта
Plague Brew "Цитра - мой любимый Хмель" (American IPA), алк. 7,2% / ИПАХА 7, ж/б 0,45л;3;00-00019090;ЦИТРА - МОЙ ЛЮБИМЫЙ ХМЕЛЬ (ж/б 0,45л);Plague Brew;Товар;;382;4660512521842;кор. 06х0,45л ж/б;365;Цитра - мой любимый Хмель;Цитра - мой любимый Хмель;Plague Brew "Цитра - мой любимый Хмель" (American IPA), алк. 7,2% / ИПАХА 7, ж/б 0,45л;;Алкогольная продукция>Plague Brew>Plague Brew ж>б бут;7,20;40;;American IPA;6180731;;569a0b7b-29a1-11f0-9bac-000c296fac54
Ability “Outer Shine” (West Coast IPA) алк.7% / Абилити 19, пэт кег 20л/шт;13;00-00020650;OUTER SHINE (пэт кег 20л/шт);Ability;Товар;;0;4670161159525;пэт кег 20л/шт;365;Outer Shine;Outer Shine;Ability “Outer Shine” (West Coast IPA) алк.7% / Абилити 19, пэт кег 20л/шт;;Алкогольная продукция>SVOI (Сергиев Посад)>Ability кег;7;;;West Coast IPA;6432003;;2dba0750-97c2-11f0-9bb0-000c296fac54
Rewort Brewery "Fridtjof N." (American IPA) алк. 6,0% / ФРИТЬОФ Н., ж/б 0,45л;581;00-00020716;FRIDTJOV N. (ж/б 0,45л);Rewort;Товар;Вдохновитель этого пива - Нансэн Фритьоф, бесстрашный норвежский путешественник, исследователь Арктики и лауреат Нобелевской премии мира 1922 года. Вашему вниманию - полнотелый, тягучий и близкий к классическому IPA, сваренный на хмеле Mosaic - достаточно плотный и обладающий характерными для стиля умеренными горечью и крепостью.;263;4670161154186;кор. 12х0,45л ж/б;365;Fridtjof N.;Fridtjof N.;Rewort Brewery "Fridtjof N." (American IPA) алк. 6,0% / ФРИТЬОФ Н., ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6;50;17;American IРА;2819205;13;0688e106-9d3f-11f0-9bb0-000c296fac54
Rewort Brewery "Fridtjof N." (American IPA) алк. 6,0% / ФРИТЬОФ Н., ж/б 0,45л;581;00-00020716;FRIDTJOV N. (ж/б 0,45л);Rewort;Товар;Вдохновитель этого пива - Нансэн Фритьоф, бесстрашный норвежский путешественник, исследователь Арктики и лауреат Нобелевской премии мира 1922 года. Вашему вниманию - полнотелый, тягучий и близкий к классическому IPA, сваренный на хмеле Mosaic - достаточно плотный и обладающий характерными для стиля умеренными горечью и крепостью.;263;4670161155121;кор. 12х0,45л ж/б;365;Fridtjof N.;Fridtjof N.;Rewort Brewery "Fridtjof N." (American IPA) алк. 6,0% / ФРИТЬОФ Н., ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6;50;17;American IРА;2819205;13;0688e106-9d3f-11f0-9bb0-000c296fac54
Zagovor Brewery "Hot Wax" (DDH New England Double IPA) алк. 8%, / Хот Уокс, ж/б  0,45л;88;00-00020792;HOT WAX (ж/б 0,45л);Zagovor Brewery;Товар;Наш свежайший двойной IPA сваренный с овсянкой для пущей мягкости и двойным сухим охмелением Citra и Galaxy.;443;4670223013697;кор. 20х0,45л ж/б;240;Hot Wax;Hot Wax;Zagovor Brewery "Hot Wax" (DDH New England Double IPA) алк. 8%, / Хот Уокс, ж/б  0,45л;;Алкогольная продукция>Zagovor Brewery>Zagovor Brewery ж>б;8;40;19;DDH New England Double IPA;3026826;;21ba0bea-a416-11f0-9bb0-000c296fac54
Salden's "Sm Milk Sour Ale Man&Ban"(Sour Ale)алк5%/Смузи Молочный Кислый Эль Манго и Банан,ж/б 0,45л;24;00-00020854;SMOOTHIE MILK SOUR ALE MANGO & BANANA (ж/б 0,45л);Salden's;Товар;Sour - Fruited;296;4620085786925;кор. 20х0,45л ж/б;180;Smoothie Milk Sour Ale Mango & Banana;Smoothie Milk Sour Ale Mango & Banana;Salden's "Sm Milk Sour Ale Man&Ban"(Sour Ale)алк5%/Смузи Молочный Кислый Эль Манго и Банан,ж/б 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;5;;;Smoothie Sour Ale;4708209;;a2ad91dd-aa85-11f0-9bb1-000c296fac54
Salden's "Tomato Gose Provence Ed." (Gose) алк, 5% /Томатный Гозе Прованс, жб. 0,45л;40;00-00018386;TOMATO GOSE PROVENCE ED. (жб. 0,45л);Salden's;Товар;;296;4620085784990;кор. 20х0,45л ж/б;180;Tomato Gose Provence Ed.;Tomato Gose Provence Ed.;Salden's "Tomato Gose Provence Ed." (Gose) алк, 5% /Томатный Гозе Прованс, жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;5;;;Gose;4242757;;fccbcbb9-fa7b-11ef-8224-000c29bc6f5e
Lapochka "Fizzy Rose" (Lemonade) / Lapochka Fizzy Rose (Лапочка Физзи Розе), ж/б.0,33л;3;00-00018432;FIZZY ROSE (ж/б 0,33л);Lapochka;Товар;;196;4640205263945;кор. 20х0,33л ж/б;360;Fizzy Rose;Fizzy Rose;Lapochka "Fizzy Rose" (Lemonade) / Lapochka Fizzy Rose (Лапочка Физзи Розе), ж/б.0,33л;;Алкогольная продукция>Ostrovica (Аша)>Lapochka;;;;Lemonade;;;d9e0036c-fb54-11ef-8224-000c29bc6f5e
Lapochka "Fizzy Rose" (Lemonade) / Lapochka Fizzy Rose (Лапочка Физзи Розе), ж/б.0,33л;3;00-00018432;FIZZY ROSE (ж/б 0,33л);Lapochka;Товар;;196;4640205263990;кор. 20х0,33л ж/б;360;Fizzy Rose;Fizzy Rose;Lapochka "Fizzy Rose" (Lemonade) / Lapochka Fizzy Rose (Лапочка Физзи Розе), ж/б.0,33л;;Алкогольная продукция>Ostrovica (Аша)>Lapochka;;;;Lemonade;;;d9e0036c-fb54-11ef-8224-000c29bc6f5e
Selfmade "Selfmade Pilsner" (Pilsner) алк.5% / СБ Пилс 1, ж/б 0,45л;23;00-00018472;SELFMADE PILSNER (ж/б 0,45л);Selfmade;Товар;;241;4640235991504;кор. 12х0,45л ж/б;240;Selfmade Pilsner;Selfmade Pilsner;Selfmade "Selfmade Pilsner" (Pilsner) алк.5% / СБ Пилс 1, ж/б 0,45л;;Алкогольная продукция>Selfmade>Selfmade ж>б;5;32;;Pilsner;5410045;;7a78ad6c-ff15-11ef-8224-000c29bc6f5e
WS Brew "Ирландец" (Red Ale) алк. 4.4% / ВС Ирландец, пэт кег 20л;200;00-00018509;ИРЛАНДЕЦ (пэт кег 20л);WS Brew;Товар;;306;4640229751251;пэт кег 20л;365;Ирландец;Ирландец;WS Brew "Ирландец" (Red Ale) алк. 4.4% / ВС Ирландец, пэт кег 20л;;Алкогольная продукция>White Stonе>WS Brew кег;4,40;20;;Red Ale;5060423;;3a2f5256-03d1-11f0-8227-000c29bc6f5e
Sabotage "Bro Hymn" (American Pale Ale),алк. 5% / САБОТАЖ Бро Гимн, ж/б 0,45;17;00-00022240;BRO HYMN (ж/б 0,45л);Sabotage Brewery;Товар;;353;4620235853620;кор. 20х0,45л ж/б;365;Bro Hymn;Bro Hymn;Sabotage "Bro Hymn" (American Pale Ale),алк. 5% / САБОТАЖ Бро Гимн, ж/б 0,45;;Алкогольная продукция>Sabotage Brewery>Sabotage ж>б;5;45;;American Pale Ale;5513755;;8f9482af-4785-11f1-9bbc-000c296fac54
White Stone "Анри Ле Ру" (Double Milk Stout) алк. 8% / ВС Карамельный Стаут, ж/б 0,45л;60;00-00022257;АНРИ ЛЕ РУ (ж/б 0,45л);White Stone;Товар;;301;4640229751824;кор. 12х0,45л ж/б;365;Анри Ле Ру;Анри Ле Ру;White Stone "Анри Ле Ру" (Double Milk Stout) алк. 8% / ВС Карамельный Стаут, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;8;25;;Double Milk Stout;6390287;;1d3a506d-4916-11f1-9bbc-000c296fac54
White Stone "Анри Ле Ру" (Double Milk Stout) алк. 8% / ВС Карамельный Стаут, ж/б 0,45л;60;00-00022257;АНРИ ЛЕ РУ (ж/б 0,45л);White Stone;Товар;;301;4640229753071;кор. 12х0,45л ж/б;365;Анри Ле Ру;Анри Ле Ру;White Stone "Анри Ле Ру" (Double Milk Stout) алк. 8% / ВС Карамельный Стаут, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;8;25;;Double Milk Stout;6390287;;1d3a506d-4916-11f1-9bbc-000c296fac54
Mister Bee "Classic" (Mead) алк. 5% / Мистер БИ, пэт кег 30л;90;00-00022284;MISTER BEE CLASSIC (пэт кег 30л);Cider House;Товар;;217;4680140431658;пэт кег 30л;540;Mister Bee Classic;Mister Bee Classic;Mister Bee "Classic" (Mead) алк. 5% / Мистер БИ, пэт кег 30л;;Алкогольная продукция>Cider House>Mister Bee кег;5;;;Mead;6348197;;64ee0674-4e0b-11f1-9bbe-000c296fac54
Duck Cider "Вишня" (Fruit Cider) алк. 5,5% / ДАК САЙДЕР Вишня, бут. 0,5л;48;00-00022323;ВИШНЯ (бут. 0,5л);Сидродельня Леонида Леврана;Товар;;311;4603728537542;кор. 12х0,5л ст. бут.;720;Вишня;Вишня;Duck Cider "Вишня" (Fruit Cider) алк. 5,5% / ДАК САЙДЕР Вишня, бут. 0,5л;;Алкогольная продукция>Сидродельня Леонида Леврана>Duck Cider;5,50;;;Cider;6593523;;bf968a66-4f85-11f1-9bbe-000c296fac54
Меда Сибири "Dry Hoppy Mead" (Mead) алк. 5% /Хмельной Мёд, пэт кег 20л;20;00-00022487;DRY HOPPY MEAD (пэт кег 20л);Меда Сибири;Товар;;383;4660387591674;пэт кег 20л;365;Dry Hoppy Mead;Dry Hoppy Mead;Меда Сибири "Dry Hoppy Mead" (Mead) алк. 5% /Хмельной Мёд, пэт кег 20л;;Алкогольная продукция>Меда Сибири>Меда Сибири кег;5;;;Mead;6504376;;55a2621f-6009-11f1-9bbe-000c296fac54
Rewort Brewery "Hardin & Walker" (American IPA ) алк. 6,5% / ХАРДИН ЭНД ВОЛКЕР, ж/б 0,45л;408;00-00022511;HARDIN & WALKER (ж/б 0,45л);Rewort;Товар;;275;4670161154711;кор. 12х0,45л ж/б;365;Hardin & Walker;Hardin & Walker;Rewort Brewery "Hardin & Walker" (American IPA ) алк. 6,5% / ХАРДИН ЭНД ВОЛКЕР, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,50;53;;American IPA;4189006;;963eb874-6309-11f1-9bbe-000c296fac54
Rewort Brewery "Hardin & Walker" (American IPA ) алк. 6,5% / ХАРДИН ЭНД ВОЛКЕР, ж/б 0,45л;408;00-00022511;HARDIN & WALKER (ж/б 0,45л);Rewort;Товар;;275;4670161155145;кор. 12х0,45л ж/б;365;Hardin & Walker;Hardin & Walker;Rewort Brewery "Hardin & Walker" (American IPA ) алк. 6,5% / ХАРДИН ЭНД ВОЛКЕР, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,50;53;;American IPA;4189006;;963eb874-6309-11f1-9bbe-000c296fac54
On the Bones & Rewort Brewery "Легкое поведение" (Session NEIPA) алк. 4,2% / ОХМЕЛЕННОЕ 7, ж/б 0,45л;786;00-00022537;ЛЕГКОЕ ПОВЕДЕНИЕ (ж/б 0,45л);On the Bones;Товар;;285;4630522440075;кор. 12х0,45л ж/б;360;Легкое поведение;Легкое Поведение;On the Bones & Rewort Brewery "Легкое поведение" (Session NEIPA) алк. 4,2% / ОХМЕЛЕННОЕ 7, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;4,20;25;;Session NE IPA;6728118;;272096f8-63e8-11f1-9bbe-000c296fac54
On the Bones & Rewort Brewery "Легкое поведение" (Session NEIPA) алк. 4,2% / ОХМЕЛЕННОЕ 7, ж/б 0,45л;786;00-00022537;ЛЕГКОЕ ПОВЕДЕНИЕ (ж/б 0,45л);On the Bones;Товар;;285;4630522442154;кор. 12х0,45л ж/б;360;Легкое поведение;Легкое Поведение;On the Bones & Rewort Brewery "Легкое поведение" (Session NEIPA) алк. 4,2% / ОХМЕЛЕННОЕ 7, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;4,20;25;;Session NE IPA;6728118;;272096f8-63e8-11f1-9bbe-000c296fac54
Лимонад Aloha Кактус Лайм (Lemonade) / АЛОХА 1, бут. 0,33л;119;00-00020886;ЛИМОНАД ALOHA КАКТУС ЛАЙМ (бут. 0,33л);Aloha;Товар;;175;4670161154735;кор. 12х0,33л ст. бут.;365;Лимонад Кактус-Лайм;Лимонад Aloha Кактус Лайм;Лимонад Aloha Кактус Лайм (Lemonade) / АЛОХА 1, бут. 0,33л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Aloha;;;;Lemonade;;;52ec1b4f-ae7f-11f0-9bb1-000c296fac54
Лимонад Aloha Кактус Лайм (Lemonade) / АЛОХА 1, бут. 0,33л;119;00-00020886;ЛИМОНАД ALOHA КАКТУС ЛАЙМ (бут. 0,33л);Aloha;Товар;;175;4670161159280;кор. 12х0,33л ст. бут.;365;Лимонад Кактус-Лайм;Лимонад Aloha Кактус Лайм;Лимонад Aloha Кактус Лайм (Lemonade) / АЛОХА 1, бут. 0,33л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Aloha;;;;Lemonade;;;52ec1b4f-ae7f-11f0-9bb1-000c296fac54
Red Button "Vari Oat Beer" (Lager) алк.5% / Вари овсяный бир, ж/б 0,45л;46;00-00020927;VARI OAT BEER (ж/б 0,45л);Red Button;Товар;;254;4670190943812;кор. 20х0,45л ж/б;360;Vari Oat Beer;Vari Oat Beer;Red Button "Vari Oat Beer" (Lager) алк.5% / Вари овсяный бир, ж/б 0,45л;;Алкогольная продукция>Red Button>Red Button ж>б > стекло;5;;;Lager;6446878;;5cf87c8f-b0bb-11f0-9bb1-000c296fac54
Rewort Brewery “Jack L.” (Double Stout) алк. 8,5% / ДЖЕК Л, пэт кег 20л/шт;16;00-00021004;JACK L. (пэт кег 20л/шт);Rewort;Товар;;0;4670161158269;пэт кег 20л/шт;365;Jack L.;Jack L.;Rewort Brewery “Jack L.” (Double Stout) алк. 8,5% / ДЖЕК Л, пэт кег 20л/шт;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort кег пэт;8,50;25;18,50;Double Stout;5855030;;5293922f-b58c-11f0-9bb2-000c296fac54
Ортодокс & Rewort Brewery “Северный” (Lager - Vienna) алк. 5,5% /ЛАГЕР 13, ж/б 0,45л;368;00-00021104;СЕВЕРНЫЙ (ж/б 0,45л);ОРТОДОКС;Товар;;222;4670161154841;кор. 12х0,45л ж/б;365;Северный;Северный;Ортодокс & Rewort Brewery “Северный” (Lager - Vienna) алк. 5,5% /ЛАГЕР 13, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;5,50;;;Lager;6440579;;c625d43d-c094-11f0-9bb2-000c296fac54
Ортодокс & Rewort Brewery “Северный” (Lager - Vienna) алк. 5,5% /ЛАГЕР 13, ж/б 0,45л;368;00-00021104;СЕВЕРНЫЙ (ж/б 0,45л);ОРТОДОКС;Товар;;222;4670161159655;кор. 12х0,45л ж/б;365;Северный;Северный;Ортодокс & Rewort Brewery “Северный” (Lager - Vienna) алк. 5,5% /ЛАГЕР 13, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;5,50;;;Lager;6440579;;c625d43d-c094-11f0-9bb2-000c296fac54
Rewort Brewery "Чёрная жемчужина" (Porter Baltic) алк.11,5% / ОТЛИЧНОЕ ИМПЕРСКОЕ 1, ж/б 0,45л;209;00-00021487;ЧЕРНАЯ ЖЕМЧУЖИНА (ж/б 0,45л);Rewort;Товар;;317;4630522440518;кор. 12х0,45л ж/б;365;Черная жемчужина;Черная жемчужина;Rewort Brewery "Чёрная жемчужина" (Porter Baltic) алк.11,5% / ОТЛИЧНОЕ ИМПЕРСКОЕ 1, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;11,50;50;28;Imperial Baltic Porter;6488306;80;4a832cd2-df3c-11f0-9bb5-000c296fac54
Rewort Brewery "Чёрная жемчужина" (Porter Baltic) алк.11,5% / ОТЛИЧНОЕ ИМПЕРСКОЕ 1, ж/б 0,45л;209;00-00021487;ЧЕРНАЯ ЖЕМЧУЖИНА (ж/б 0,45л);Rewort;Товар;;317;4670161159426;кор. 12х0,45л ж/б;365;Черная жемчужина;Черная жемчужина;Rewort Brewery "Чёрная жемчужина" (Porter Baltic) алк.11,5% / ОТЛИЧНОЕ ИМПЕРСКОЕ 1, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;11,50;50;28;Imperial Baltic Porter;6488306;80;4a832cd2-df3c-11f0-9bb5-000c296fac54
Мантра "Spice Drop: Tom Yum" (Tomato Gose) алк. 6.5% /Мантра Гозэ 6,ж/б 0,45л;13;00-00021522;SPICE DROP: TOM YUM  (ж/б 0,45л);Мантра;Товар;;353;4630287665492;кор. 20х0,45л ж/б;365;Spice Drop: Tom Yum;Spice Drop: Tom Yum;Мантра "Spice Drop: Tom Yum" (Tomato Gose) алк. 6.5% /Мантра Гозэ 6,ж/б 0,45л;;Алкогольная продукция>Мантра>Мантра ж>б;6,50;;;Tomato Gose;6524792;;b6e35842-e54e-11f0-9bb5-000c296fac54
Big Village "QUE PASA" (Lager - Mexican) алк. 5% / Ке Паса, ж/б 0,45л;18;00-00021592;QUE PASA (ж/б 0,45л);Big Village;Товар;;246;4609642279223;кор. 12х0,45л ж/б;240;QUE PASA;QUE PASA;Big Village "QUE PASA" (Lager - Mexican) алк. 5% / Ке Паса, ж/б 0,45л;;Алкогольная продукция>Big Village>Big Village ж>б;5;15;;Lager - Mexican;5917687;;61238a9f-f519-11f0-9bb6-000c296fac54
Big Village "QUE PASA" (Lager - Mexican) алк. 5% / Ке Паса, ж/б 0,45л;18;00-00021592;QUE PASA (ж/б 0,45л);Big Village;Товар;;246;4609642279230;кор. 12х0,45л ж/б;240;QUE PASA;QUE PASA;Big Village "QUE PASA" (Lager - Mexican) алк. 5% / Ке Паса, ж/б 0,45л;;Алкогольная продукция>Big Village>Big Village ж>б;5;15;;Lager - Mexican;5917687;;61238a9f-f519-11f0-9bb6-000c296fac54
Zagovor Brewery "Screen Time" (Pale Ale) алк. 5% / Скрин тайм, ж/б 0,45л;55;00-00021657;SCREEN TIME (ж/б 0,45л);Zagovor Brewery;Товар;;364;4670223013833;кор. 20х0,45л ж/б;365;Screen Time;Screen Time;Zagovor Brewery "Screen Time" (Pale Ale) алк. 5% / Скрин тайм, ж/б 0,45л;;Алкогольная продукция>Zagovor Brewery>Zagovor Brewery ж>б;5;;;Pale Ale;6471584;;5ae7fb69-fb80-11f0-9bb8-000c296fac54
4 Brewers "Кислота [Grapefruit]" (Fruited Sour Ale) алк. 4,5% / Кислота 3, ж/б 0,45л;8;00-00019459;КИСЛОТА [GRAPEFRUIT] (ж/б 0,45л);4 Brewers;Товар;;338;4680583608877;кор. 12х0,45л ж/б;360;Кислота [Grapefruit];Кислота [Grapefruit];4 Brewers "Кислота [Grapefruit]" (Fruited Sour Ale) алк. 4,5% / Кислота 3, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;4,50;;;Fruited Sour Ale;5899972;;14ca0c4c-4536-11f0-9bac-000c296fac54
4 Brewers "Кислота [Grapefruit]" (Fruited Sour Ale) алк. 4,5% / Кислота 3, ж/б 0,45л;8;00-00019459;КИСЛОТА [GRAPEFRUIT] (ж/б 0,45л);4 Brewers;Товар;;338;4680583608938;кор. 12х0,45л ж/б;360;Кислота [Grapefruit];Кислота [Grapefruit];4 Brewers "Кислота [Grapefruit]" (Fruited Sour Ale) алк. 4,5% / Кислота 3, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;4,50;;;Fruited Sour Ale;5899972;;14ca0c4c-4536-11f0-9bac-000c296fac54
Заповедник "Placebo" (Cider Semi-dry) алк. 6% / Плацебо, кег 30л;30;00-00019503;PLACEBO (кег 30л);Заповедник;Товар;;490;4603759677033;пэт кег 30л;730;Placebo;Placebo;Заповедник "Placebo" (Cider Semi-dry) алк. 6% / Плацебо, кег 30л;;Алкогольная продукция>Заповедник>Заповедник кег;6;;;Cider Semi-dry;5061633;;2e21609c-45e2-11f0-9bac-000c296fac54
Заповедник "Placebo" (Cider Semi-dry) алк. 6% / Плацебо, кег 30л;30;00-00019503;PLACEBO (кег 30л);Заповедник;Товар;;490;4603759677965;пэт кег 30л;730;Placebo;Placebo;Заповедник "Placebo" (Cider Semi-dry) алк. 6% / Плацебо, кег 30л;;Алкогольная продукция>Заповедник>Заповедник кег;6;;;Cider Semi-dry;5061633;;2e21609c-45e2-11f0-9bac-000c296fac54
Salden's "Orange IPA" (American IPA)  алк, 6,5% / Апельсин ИПА, ж/б 0,45л;15;00-00019559;ORANGE IPA (ж/б 0,45л);Salden's;Товар;;285;4620085786321;кор. 20х0,45л ж/б;180;Orange IPA;Orange IPA;Salden's "Orange IPA" (American IPA)  алк, 6,5% / Апельсин ИПА, ж/б 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;7,50;60;16,50;American IPA;4473520;;c84b5d86-4b55-11f0-9bac-000c296fac54
